images_name,sentiment category,sentiment degree,intention detection,offensiveness detection,metaphor occurrence,metaphor category,target domain,source domain,target modality,source modality,Language
E_image_ (3468).jpg,5(fear),2(moderately),2(expressive),0(non-offensive),0,,,,,,EN
E_image_ (1579).jpg,4(sorrow),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (3105).jpg,6(hate),1(slightly),4(offensive),1(slightly),0,,,,,,EN
E_image_ (2545).jpg,1(happiness),1(slightly),2(expressive),0(non-offensive),0,,,,,,EN
E_image_ (801).jpg,2(love),1(slightly),3(entertaining),0(non-offensive),1,text dominant,treasure,Nicolas Cage,text,text,EN
E_image_ (2621).jpg,4(sorrow),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (120).jpg,2(love),1(slightly),2(expressive),0(non-offensive),1,text dominant,money,time,text,complementary,EN
E_image_ (1148).jpg,1(happiness),1(slightly),4(offensive),0(non-offensive),0,,,,,,EN
E_image_ (28).jpg,1(happiness),1(slightly),1(interactive),0(non-offensive),1,complementary,tiger,pig,complementary,complementary,EN
E_image_ (3341).jpg,1(happiness),1(slightly),4(offensive),1(slightly),1,complementary,kneeson,man,complementary,text,EN
E_image_ (2575).jpg,6(hate),1(slightly),4(offensive),1(slightly),0,,,,,,EN
E_image_ (3671).jpg,5(fear),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (1585).jpg,3(anger),1(slightly),2(expressive),0(non-offensive),1,complementary,idiots,classmates,text,image,EN
E_image_ (2310).jpg,6(hate),1(slightly),4(offensive),1(slightly),0,,,,,,EN
E_image_ (3253).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (3782).jpg,3(anger),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (3826).jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),0,,,,,,EN
E_image_ (797).jpg,7(surprise),1(slightly),2(expressive),0(non-offensive),1,complementary,o,mouth,complementary,image,EN
E_image_ (435).jpg,6(hate),1(slightly),4(offensive),0(non-offensive),1,text dominant,trash,i,text,text,EN
E_image_ (3157).jpg,6(hate),1(slightly),4(offensive),1(slightly),0,,,,,,EN
E_image_ (1036).jpg,6(hate),2(moderately),1(interactive),0(non-offensive),0,,,,,,EN
E_image_ (25).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),1,complementary,egg,dog,text,image,EN
E_image_ (3519).jpg,4(sorrow),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (3997).jpg,3(anger),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (984).jpg,2(love),1(slightly),1(interactive),0(non-offensive),0,,,,,,EN
E_image_ (217).jpg,2(love),1(slightly),4(offensive),2(moderately),1,complementary,me;movie;subtitles,man;woman;bust,text,image,EN
E_image_ (3807).jpg,2(love),1(slightly),2(expressive),0(non-offensive),0,,,,,,EN
E_image_ (3712).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (2044).jpg,4(sorrow),1(slightly),1(interactive),0(non-offensive),0,,,,,,EN
E_image_ (3290).jpg,3(anger),1(slightly),4(offensive),1(slightly),0,,,,,,EN
E_image_ (978).jpg,3(anger),1(slightly),2(expressive),0(non-offensive),0,,,,,,EN
E_image_ (3479).jpg,2(love),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (3527).jpg,5(fear),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (2738).jpg,7(surprise),1(slightly),4(offensive),0(non-offensive),0,,,,,,EN
E_image_ (2038).jpg,1(happiness),1(slightly),1(interactive),0(non-offensive),0,,,,,,EN
E_image_ (2649).jpg,6(hate),1(slightly),4(offensive),1(slightly),0,,,,,,EN
E_image_ (66).jpg,1(happiness),2(moderately),2(expressive),0(non-offensive),1,complementary,reddit,bear,text,image,EN
E_image_ (855).jpg,4(sorrow),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (3188).jpg,6(hate),1(slightly),4(offensive),1(slightly),0,,,,,,EN
E_image_ (772).jpg,2(love),1(slightly),3(entertaining),0(non-offensive),1,complementary,strength,union,complementary,complementary,EN
E_image_ (3971).jpg,5(fear),1(slightly),1(interactive),0(non-offensive),0,,,,,,EN
E_image_ (3965).jpg,4(sorrow),3(very),2(expressive),0(non-offensive),1,complementary,you,kid,text,image,EN
E_image_ (545).jpg,2(love),1(slightly),3(entertaining),0(non-offensive),1,complementary,bee,dog,complementary,image,EN
E_image_ (667).jpg,6(hate),1(slightly),4(offensive),1(slightly),1,complementary,music,carrot,text,image,EN
E_image_ (527).jpg,2(love),1(slightly),3(entertaining),0(non-offensive),1,image dominant,bulb,plant,image,image,EN
E_image_ (3048).jpg,6(hate),1(slightly),4(offensive),1(slightly),0,,,,,,EN
E_image_ (1466).jpg,3(anger),1(slightly),3(entertaining),0(non-offensive),1,complementary,you,woman,text,image,EN
E_image_ (3861).jpg,1(happiness),2(moderately),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (3897).jpg,6(hate),1(slightly),4(offensive),0(non-offensive),0,,,,,,EN
E_image_ (2670).jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),0,,,,,,EN
E_image_ (834).jpg,5(fear),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (2646).jpg,6(hate),1(slightly),4(offensive),1(slightly),0,,,,,,EN
E_image_ (358).jpg,1(happiness),1(slightly),4(offensive),2(moderately),1,complementary,watch,apple,complementary,complementary,EN
E_image_ (1881).jpg,1(happiness),1(slightly),2(expressive),0(non-offensive),0,,,,,,EN
E_image_ (1989).jpg,2(love),1(slightly),3(entertaining),0(non-offensive),1,text dominant,issue,gender,text,text,EN
E_image_ (615).jpg,7(surprise),1(slightly),2(expressive),0(non-offensive),1,image dominant,sail,moon,image,image,EN
E_image_ (2806).jpg,1(happiness),1(slightly),2(expressive),0(non-offensive),1,complementary,you,man,text,image,EN
E_image_ (175).jpg,1(happiness),1(slightly),2(expressive),0(non-offensive),1,text dominant,anesthesia,alcohol,text,text,EN
E_image_ (671).jpg,6(hate),1(slightly),4(offensive),1(slightly),1,complementary,mask,bra,complementary,image,EN
E_image_ (464).jpg,2(love),1(slightly),3(entertaining),0(non-offensive),1,text dominant,a hell of drug,thick thighs,text,complementary,EN
E_image_ (477).jpg,2(love),1(slightly),3(entertaining),0(non-offensive),1,text dominant,virtue,patience,text,text,EN
E_image_ (2444).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),1,complementary,snowball,seal,text,image,EN
E_image_ (1116).jpg,1(happiness),2(moderately),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (362).jpg,2(love),1(slightly),2(expressive),0(non-offensive),1,complementary,banana bread;me,heater;dog,text,image,EN
E_image_ (726).jpg,2(love),1(slightly),2(expressive),0(non-offensive),1,text dominant,sunshine and rain,you,text,text,EN
